العمر(رقم_عدد صحيح),الجنس,الفرع الدراسي,المدينة/المحافظة,اهتمامي بالبرمجة والتقنية,اهتمامي بالرياضيات والمنطق,اهتمامي بالفيزياء والهندسة,اهتمامي بالطب والعلوم الصحية,اهتمامي بالكيمياء والأحياء,اهتمامي باللغات والآداب,اهتمامي بالعلوم الإنسانية (فلسفة، علم نفس، اجتماع),اهتمامي بالاقتصاد وإدارة الأعمال,اهتمامي بالفنون (رسم، موسيقى، تصميم),اهتمامي بالقانون والحقوق,أفضل الدراسة النظرية على العملية,أستمتع بحل المسائل المعقدة,أفضل العمل مع الناس أكثر من العمل مع الحاسوب,أتحمل ضغط الدراسة العالي إذا كان التخصص أحبه,أميل للاستقرار الوظيفي أكثر من المغامرة,ترتيب أهمية الدخل الجيد بالنسبة لي,ترتيب أهمية المكانة الاجتماعية,ترتيب أهمية العمل في مجال أحبه,ترتيب أهمية الاستقرار الوظيفي,التخصص الأول الذي أرغب به, التخصص الثاني الذي أرغب به, التخصص الثالث الذي أرغب به,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها,ما هو التخصص الذي يرغب أهلك أن تدرسه؟,سبب اختيار أهلك لهذا التخصص؟,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟,القدرة المادية للعائلة,علامة الرياضيات (0–100),علامة الفيزياء (0–100),علامة الكيمياء (0–100),علامة اللغة العربية (0–100),علامة اللغة الأجنبية (0–100),هل يمكنك الدراسة خارج مدينتك؟,هل يمكنك الدراسة في جامعة خاصة؟,ما هو التخصص الذي تتوقع أن تختاره فعليًا؟,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها_encoded,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟_encoded,هل يمكنك الدراسة في جامعة خاصة؟_encoded,القدرة المادية للعائلة_encoded,cluster
17,2,1,2,2,4,4,5,2,3,1,2,1,3,1,3,5,5,1,1,1,1,1,1,2,8,0,1,1,0,2,85.0,90.0,85.0,95.0,90.0,1,2,0,0.0,0.0,1.0,1,1
19,2,4,2,5,4,1,1,1,5,1,5,1,1,1,2,1,5,5,1,4,1,1,4,8,8,0,4,3,1,1,0.0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.5,0.0,0,2
17,2,1,2,4,3,2,3,2,4,2,1,4,2,5,3,1,4,5,1,1,1,1,3,7,8,0,1,1,1,2,50.0,50.0,65.0,85.0,99.0,1,2,3,0.0,0.5,1.0,1,2
17,2,1,2,4,5,4,4,5,3,1,3,1,3,1,3,5,5,5,1,1,1,1,1,3,6,0,1,1,0,1,85.0,95.0,90.0,75.0,75.0,0,0,0,0.0,0.0,0.0,0,1
17,2,1,2,3,4,5,5,4,2,1,1,1,3,1,5,5,5,1,1,1,1,1,5,2,4,2,1,1,2,2,60.0,70.0,60.0,70.0,60.0,0,2,0,1.0,1.0,1.0,1,1
17,2,1,2,3,4,5,4,5,4,1,5,4,1,1,3,5,5,1,3,3,4,4,1,4,6,0,1,1,2,1,75.0,80.0,80.0,75.0,85.0,0,1,0,0.0,1.0,0.5,0,0
18,2,4,2,4,4,3,5,2,3,4,1,2,1,4,5,2,3,2,3,2,1,3,4,5,7,2,3,3,0,2,68.0,68.0,95.0,88.0,52.0,0,0,4,1.0,0.0,0.0,1,0
18,2,1,2,1,2,1,5,2,3,4,1,1,1,1,2,1,5,4,1,1,1,1,1,6,4,0,1,1,0,2,50.0,66.0,55.0,70.0,70.0,0,2,1,0.0,0.0,1.0,1,2
17,2,1,2,3,4,4,4,4,3,1,5,5,3,1,3,5,5,5,2,3,1,1,1,2,8,1,1,1,2,2,75.0,90.0,70.0,79.0,80.0,1,1,0,0.5,1.0,0.5,1,1
18,2,4,2,1,1,1,1,1,1,3,5,1,1,1,2,3,5,5,3,3,4,4,4,7,8,1,4,4,2,2,80.0,90.0,0.0,50.0,0.0,1,2,4,0.5,1.0,1.0,1,0
19,2,2,2,1,1,1,3,1,5,4,3,5,5,5,1,1,5,2,2,4,1,3,5,6,7,1,1,1,2,1,10.0,3.0,5.0,90.0,80.0,1,0,0,0.5,1.0,0.0,0,2
18,2,1,1,4,3,3,5,4,3,4,4,3,2,1,3,3,5,4,1,2,1,2,1,2,3,0,1,1,0,2,90.0,90.0,90.0,95.0,90.0,1,2,1,0.0,0.0,1.0,1,1
18,2,1,2,3,5,4,4,5,3,3,3,2,3,2,4,2,5,3,3,1,1,2,1,2,8,2,1,1,0,1,50.0,50.0,60.0,80.0,70.0,0,0,1,1.0,0.0,0.0,0,1
18,2,1,2,2,5,5,5,4,4,2,1,2,1,4,5,1,5,5,1,1,1,1,1,2,3,0,1,3,0,1,80.0,85.0,75.0,85.0,70.0,0,1,1,0.0,0.0,0.5,0,1
17,2,1,1,3,3,4,4,4,3,1,4,1,1,5,2,4,5,3,3,3,3,3,1,6,4,2,1,2,2,2,75.0,70.0,60.0,90.0,80.0,1,2,0,1.0,1.0,1.0,1,0
17,2,1,1,2,3,3,5,4,5,5,3,5,3,5,2,3,5,3,1,3,2,2,1,2,7,1,1,2,1,2,60.0,50.0,70.0,90.0,80.0,1,1,0,0.5,0.5,0.5,1,2
18,2,1,2,2,2,2,3,2,2,4,3,4,3,4,3,3,2,2,2,2,2,1,3,4,5,2,8,1,0,1,65.0,50.0,78.0,77.0,75.0,0,0,8,1.0,0.0,0.0,0,2
17,2,1,2,4,4,1,4,5,3,1,4,1,5,3,2,5,5,3,3,3,4,2,1,2,4,2,1,4,0,2,70.0,50.0,80.0,92.0,60.0,1,2,0,1.0,0.0,1.0,1,0
18,2,1,2,1,5,5,5,1,1,1,1,3,1,1,5,1,5,5,1,1,1,1,1,2,8,0,1,3,0,2,99.0,30.0,40.0,60.0,90.0,0,0,1,0.0,0.0,0.0,1,1
18,2,1,2,1,4,4,3,3,5,4,4,2,5,5,2,5,3,3,2,2,1,1,2,5,8,2,2,1,2,1,80.0,75.0,88.0,90.0,95.0,1,0,0,1.0,1.0,0.0,0,1
18,2,1,2,3,3,2,5,4,5,5,3,5,2,4,4,1,5,5,1,1,1,4,1,5,7,0,1,1,0,2,75.0,63.0,50.0,80.0,85.0,0,1,1,0.0,0.0,0.5,1,1
18,2,1,2,2,5,5,3,4,2,1,3,1,1,5,5,5,3,5,3,1,1,1,1,2,6,0,1,3,1,2,80.0,68.0,50.0,30.0,50.0,0,2,1,0.0,0.5,1.0,1,1
17,2,1,2,3,5,4,5,4,5,2,2,4,2,3,4,4,5,4,1,1,1,1,1,1,2,0,1,1,0,1,80.0,70.0,50.0,85.0,80.0,0,0,1,0.0,0.0,0.0,0,1
18,2,1,2,5,2,1,1,1,3,5,2,1,2,1,5,5,2,1,1,1,3,4,2,1,6,2,1,1,0,2,60.0,80.0,70.0,80.0,40.0,0,2,2,1.0,0.0,1.0,1,0
17,2,1,2,3,5,5,5,5,4,1,2,1,1,1,5,3,5,1,2,2,1,2,1,3,2,1,1,2,1,1,100.0,95.0,80.0,90.0,90.0,0,0,0,0.5,0.5,0.0,0,1
19,2,2,2,3,1,2,1,1,4,5,5,1,3,4,3,3,4,3,4,3,4,4,6,4,5,0,5,2,1,1,50.0,60.0,40.0,70.0,60.0,0,0,6,0.0,0.5,0.0,0,0
17,2,1,2,2,2,2,5,1,5,1,3,1,3,1,3,5,5,3,2,1,1,1,1,2,8,0,1,4,1,1,90.0,100.0,70.0,100.0,98.0,0,0,0,0.0,0.5,0.0,0,1
18,2,1,2,3,3,4,3,2,3,1,2,1,1,4,2,5,3,3,3,2,2,1,1,4,4,0,1,1,0,1,75.0,50.0,69.0,70.0,29.0,0,0,1,0.0,0.0,0.0,0,0
17,2,1,2,3,3,3,5,1,5,1,2,1,3,1,3,5,5,4,1,1,1,1,1,2,8,0,1,4,1,1,90.0,100.0,80.0,100.0,98.0,0,0,0,0.0,0.5,0.0,0,1
17,2,1,2,4,3,3,5,2,2,1,5,4,4,1,4,1,5,3,1,1,1,3,1,5,3,0,1,2,1,1,70.0,70.0,60.0,60.0,100.0,1,1,1,0.0,0.5,0.5,0,1
17,2,1,2,3,2,4,4,1,2,1,2,1,1,1,4,2,4,1,1,2,1,2,1,2,3,2,1,1,1,1,70.0,80.0,80.0,80.0,90.0,0,0,0,1.0,0.5,0.0,0,1
18,2,1,2,1,3,1,2,5,4,1,3,4,1,3,5,5,5,2,2,1,1,2,2,5,7,0,1,3,1,2,80.0,70.0,60.0,90.0,60.0,1,2,2,0.0,0.5,1.0,1,1
17,2,1,2,5,3,3,1,2,1,1,1,1,3,1,5,2,5,2,3,3,1,3,2,2,3,2,3,1,0,2,70.0,50.0,0.0,60.0,46.0,1,1,2,1.0,0.0,0.5,1,0
17,2,1,2,1,2,2,4,5,5,2,2,4,5,3,5,5,1,4,1,1,1,1,3,5,5,1,1,2,1,1,60.0,100.0,80.0,60.0,70.0,1,0,3,0.5,0.5,0.0,0,1
17,2,1,2,3,5,5,3,3,4,1,1,1,1,1,5,1,5,1,2,2,1,1,3,2,8,2,3,4,2,1,99.0,97.0,92.0,89.0,98.0,0,0,3,1.0,1.0,0.0,0,1
17,2,1,2,3,3,2,4,2,3,5,2,3,5,3,3,5,5,3,1,2,1,3,1,5,6,1,6,1,2,1,60.0,40.0,30.0,80.0,30.0,0,0,0,0.5,1.0,0.0,0,2
17,2,1,2,5,1,5,3,1,3,4,4,2,2,1,1,1,5,1,1,1,1,1,3,4,8,1,1,2,1,1,60.0,100.0,80.0,75.0,80.0,1,0,3,0.5,0.5,0.0,0,1
17,2,1,2,3,4,4,5,4,4,3,5,1,4,4,3,4,5,4,3,4,4,2,2,1,5,2,2,1,2,2,75.0,85.0,85.0,100.0,75.0,0,0,2,1.0,1.0,0.0,1,0
18,2,1,2,1,5,5,1,1,4,1,1,5,1,3,1,1,5,4,1,1,1,1,2,7,8,1,2,1,2,1,85.0,94.0,90.0,95.0,80.0,1,1,2,0.5,1.0,0.5,0,1
17,2,1,2,2,3,3,3,4,4,2,4,5,4,2,3,2,4,2,1,1,1,2,3,4,5,1,5,1,1,1,60.0,62.0,21.0,72.0,70.0,0,0,8,0.5,0.5,0.0,0,2
18,2,1,1,1,1,1,4,2,1,1,2,1,1,2,3,3,3,3,3,4,4,4,1,3,2,1,1,1,0,2,80.0,80.0,100.0,75.0,80.0,0,0,0,0.5,0.0,0.0,1,0
17,2,1,2,1,1,1,5,1,1,1,1,1,1,2,1,5,3,4,2,1,1,1,1,5,2,0,1,1,1,1,60.0,50.0,50.0,80.0,30.0,0,0,1,0.0,0.5,0.0,0,2
17,2,1,1,1,3,4,1,1,3,1,1,1,1,5,1,4,3,3,1,1,1,1,2,8,1,1,1,2,1,2,92.0,100.0,93.0,90.0,80.0,0,1,2,0.5,0.5,0.5,1,1
17,2,1,2,1,5,5,5,5,4,2,1,1,1,1,5,2,5,3,1,1,1,2,1,3,8,0,1,3,0,2,85.0,95.0,90.0,82.0,88.0,1,2,1,0.0,0.0,1.0,1,1
17,2,1,2,2,5,5,5,5,4,2,3,1,4,1,4,5,5,3,3,1,1,1,1,2,3,2,1,2,0,1,80.0,70.0,80.0,100.0,60.0,1,1,0,1.0,0.0,0.5,0,1
18,2,1,2,1,4,2,5,4,1,1,1,3,2,3,3,5,5,2,3,1,1,3,1,1,1,0,1,1,0,2,99.0,99.0,98.0,50.0,70.0,1,1,1,0.0,0.0,0.5,1,1
17,2,1,2,1,3,3,3,3,3,2,1,1,3,1,1,3,1,4,4,4,4,3,1,5,8,0,1,1,0,2,90.0,90.0,95.0,98.0,90.0,1,1,1,0.0,0.0,0.5,1,0
17,2,1,2,2,2,1,3,1,1,1,5,5,5,5,1,5,4,1,1,1,1,2,2,5,8,0,2,2,2,2,70.0,65.0,65.0,70.0,50.0,0,1,2,0.0,1.0,0.5,1,2
17,2,1,2,4,5,4,4,4,3,1,1,2,1,3,5,4,5,2,1,1,1,2,1,2,8,0,1,1,2,2,70.0,65.0,80.0,90.0,60.0,1,2,1,0.0,1.0,1.0,1,1
17,2,1,13,5,1,1,5,3,3,1,3,3,1,1,3,4,5,4,1,1,1,1,1,1,1,0,1,2,2,2,70.0,80.0,60.0,93.0,90.0,1,0,1,0.0,1.0,0.0,1,1
18,2,2,10,2,2,2,3,3,5,5,4,5,5,2,4,4,4,3,2,2,1,2,8,6,7,1,8,4,2,2,50.0,60.0,55.0,90.0,75.0,1,1,8,0.5,1.0,0.5,1,2
18,2,1,2,5,3,3,4,3,5,1,3,1,4,5,1,2,5,5,1,3,1,1,3,8,8,2,2,1,0,1,75.0,70.0,60.0,90.0,85.0,0,0,8,1.0,0.0,0.0,0,1
17,2,1,2,1,1,3,5,4,2,1,2,1,1,1,3,5,5,5,2,2,1,1,1,1,1,0,1,4,0,1,90.0,80.0,85.0,78.0,70.0,1,1,1,0.0,0.0,0.5,0,1
17,2,1,2,5,5,5,5,5,5,5,2,5,5,4,5,2,5,1,1,2,1,2,2,1,6,2,1,4,2,2,80.0,70.0,70.0,95.0,75.0,1,1,2,1.0,1.0,0.5,1,1
17,2,1,2,2,5,5,3,4,4,2,1,1,1,4,3,4,3,1,4,3,2,2,1,2,4,2,1,1,0,2,98.0,95.0,96.0,97.0,100.0,0,2,0,1.0,0.0,1.0,1,0
17,2,1,2,1,1,1,2,1,5,5,2,5,1,5,1,5,4,2,1,3,1,1,8,1,8,1,1,2,1,1,25.0,75.0,50.0,90.0,30.0,0,0,0,0.5,0.5,0.0,0,2
17,2,1,2,2,4,3,5,4,3,5,3,2,3,3,5,3,5,3,1,1,1,1,1,1,6,2,1,1,2,1,64.0,52.0,55.0,60.0,50.0,0,0,1,1.0,1.0,0.0,0,1
17,2,1,2,3,4,5,4,4,3,1,1,5,2,5,3,3,4,5,1,2,1,1,2,2,2,0,2,1,1,1,75.0,80.0,85.0,85.0,70.0,1,1,2,0.0,0.5,0.5,0,1
18,2,2,2,1,2,1,2,1,2,4,1,3,3,2,1,4,5,3,3,4,4,3,5,6,8,1,5,1,2,1,70.0,75.0,80.0,90.0,65.0,1,1,5,0.5,1.0,0.5,0,0
17,2,1,2,3,4,5,4,4,3,2,1,5,1,5,3,3,3,5,1,2,1,1,2,2,2,0,2,1,1,1,75.0,80.0,85.0,80.0,70.0,1,1,2,0.0,0.5,0.5,0,1
17,2,1,2,3,3,3,5,4,5,4,1,5,4,3,4,1,5,5,4,4,4,4,1,3,2,0,1,1,0,1,80.0,80.0,0.0,100.0,100.0,1,0,1,0.0,0.0,0.0,0,0
17,2,1,2,1,5,1,3,3,3,1,1,2,1,1,1,1,5,5,1,2,3,2,1,2,3,0,1,1,0,2,100.0,99.0,100.0,100.0,100.0,0,0,1,0.0,0.0,0.0,1,1
17,2,1,2,2,1,1,2,4,1,1,2,4,3,1,1,4,5,1,2,1,1,1,2,7,5,1,2,1,2,2,30.0,20.0,40.0,80.0,50.0,0,0,0,0.5,1.0,0.0,1,2
17,2,2,10,4,1,1,1,1,4,5,5,1,1,5,1,3,5,2,1,1,1,1,4,4,4,0,4,1,1,1,10.0,10.0,10.0,100.0,90.0,1,0,8,0.0,0.5,0.0,0,2
17,2,1,1,3,2,1,4,3,5,1,2,4,1,5,2,3,3,2,1,1,1,1,1,1,8,0,8,3,1,2,70.0,60.0,80.0,54.0,100.0,1,2,1,0.0,0.5,1.0,1,2
17,2,1,2,3,5,5,5,5,5,5,4,5,5,1,4,5,1,4,1,4,1,1,1,8,8,0,8,4,1,2,80.0,80.0,80.0,90.0,80.0,0,1,1,0.0,0.5,0.5,1,1
17,2,1,2,3,3,2,4,3,2,1,4,1,4,5,3,1,5,1,1,2,1,2,2,5,6,1,2,4,2,2,90.0,80.0,60.0,95.0,65.0,1,1,2,0.5,1.0,0.5,1,1
17,2,1,2,2,4,3,3,3,4,3,3,2,2,3,5,4,2,3,2,3,2,3,1,4,1,0,1,2,1,1,70.0,50.0,69.0,70.0,60.0,0,0,1,0.0,0.5,0.0,0,0
18,2,1,2,4,5,5,5,5,4,3,3,2,3,1,4,2,5,2,3,2,1,1,1,2,5,1,1,2,2,2,60.0,66.0,80.0,100.0,75.0,1,1,1,0.5,1.0,0.5,1,1
18,2,1,2,3,3,3,3,3,3,3,3,3,3,2,3,4,5,1,2,4,2,4,1,1,1,0,1,1,0,1,99.0,90.0,80.0,100.0,95.0,0,0,1,0.0,0.0,0.0,0,0
17,2,1,2,3,4,4,4,3,2,2,3,1,4,1,4,1,5,3,2,3,3,3,1,3,8,0,1,1,2,1,80.0,70.0,80.0,90.0,50.0,0,1,1,0.0,1.0,0.5,0,0
17,2,1,2,4,5,4,3,3,2,1,5,2,2,3,3,3,4,3,3,4,4,3,3,4,2,1,1,4,2,2,80.0,60.0,70.0,80.0,70.0,0,1,4,0.5,1.0,0.5,1,0
18,2,1,10,3,3,3,4,5,2,1,1,4,2,2,5,1,5,3,2,1,2,2,1,2,8,2,1,3,0,2,90.0,100.0,100.0,80.0,90.0,0,1,8,1.0,0.0,0.5,1,1
19,2,1,10,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,2,4,6,2,1,2,0,1,89.0,90.0,100.0,80.0,85.0,1,2,2,1.0,0.0,1.0,0,0
17,2,1,2,2,3,4,5,5,3,4,4,5,3,5,3,2,5,1,2,1,1,2,1,6,7,2,1,1,0,2,60.0,80.0,75.0,95.0,69.0,1,2,8,1.0,0.0,1.0,1,1
17,2,1,2,4,5,4,5,4,4,2,5,2,4,5,5,5,5,5,1,2,1,1,1,3,4,1,1,1,2,2,100.0,99.0,96.0,90.0,90.0,1,2,1,0.5,1.0,1.0,1,1
17,2,1,2,1,1,1,5,1,1,1,1,1,1,1,3,5,5,1,1,1,1,3,1,2,5,0,1,1,1,2,80.0,100.0,100.0,85.0,60.0,0,0,1,0.0,0.5,0.0,1,1
17,2,1,2,3,3,4,5,5,5,1,1,3,1,5,4,1,5,5,1,4,1,1,1,1,2,0,1,1,1,1,70.0,90.0,90.0,80.0,95.0,0,0,1,0.0,0.5,0.0,0,1
18,1,4,2,2,3,1,1,1,1,3,3,2,5,5,5,5,5,1,1,1,1,4,4,3,5,1,5,1,2,2,80.0,20.0,10.0,60.0,100.0,1,1,3,0.5,1.0,0.5,1,2
17,2,1,2,5,3,4,2,5,4,5,5,5,5,4,4,5,5,4,1,2,1,4,1,2,8,0,1,4,0,1,40.0,60.0,50.0,80.0,70.0,1,0,1,0.0,0.0,0.0,0,2
18,1,4,2,3,5,1,3,2,4,4,5,3,4,3,4,4,5,1,3,4,4,4,4,8,8,2,2,4,1,1,100.0,50.0,50.0,80.0,80.0,1,0,4,1.0,0.5,0.0,0,0
17,2,1,2,5,4,5,4,4,5,5,5,5,4,4,4,5,5,4,1,3,3,3,8,8,8,2,1,4,0,1,49.0,70.0,50.0,80.0,40.0,1,0,0,1.0,0.0,0.0,0,0
17,2,2,10,3,2,1,1,1,3,5,2,4,4,5,2,3,4,4,1,1,1,1,6,8,3,1,6,4,1,2,10.0,0.0,0.0,95.0,20.0,0,1,6,0.5,0.5,0.5,1,2
17,2,1,2,2,3,3,5,1,5,1,1,3,5,1,2,5,5,1,1,1,1,1,1,2,5,1,1,2,0,2,95.0,95.0,90.0,90.0,100.0,1,2,1,0.5,0.0,1.0,1,1
17,1,5,7,3,2,3,1,1,4,4,5,5,3,3,2,1,1,1,2,2,4,3,8,3,8,2,6,4,1,2,50.0,50.0,50.0,50.0,50.0,1,2,0,1.0,0.5,1.0,1,2
17,2,1,2,4,4,4,5,5,4,2,3,4,3,1,5,2,4,4,1,2,1,1,1,3,2,1,1,4,1,1,70.0,80.0,80.0,65.0,90.0,1,0,1,0.5,0.5,0.0,0,1
18,2,2,10,2,1,1,1,1,5,5,4,2,4,5,1,5,5,4,4,4,4,3,8,8,5,1,8,1,1,2,60.0,60.0,60.0,90.0,90.0,1,0,8,0.5,0.5,0.0,1,0
17,2,1,2,5,5,5,5,5,3,3,5,3,3,2,4,5,5,5,1,1,1,2,3,1,2,0,3,2,2,1,95.0,90.0,95.0,95.0,90.0,0,0,3,0.0,1.0,0.0,0,1
18,2,1,2,1,2,2,2,2,3,1,1,2,2,4,2,5,3,4,3,4,3,3,5,8,6,2,5,4,2,1,48.0,65.0,75.0,70.0,65.0,0,1,5,1.0,1.0,0.5,0,0
17,2,1,2,1,1,4,5,1,3,1,1,1,2,1,5,5,5,3,1,1,1,1,1,2,5,0,1,2,0,1,66.0,50.0,60.0,80.0,70.0,0,0,1,0.0,0.0,0.0,0,1
18,2,1,2,1,1,1,1,1,3,3,2,1,5,1,2,5,5,4,2,1,1,1,5,2,1,1,5,3,2,2,50.0,50.0,50.0,80.0,70.0,1,1,5,0.5,1.0,0.5,1,2
17,2,1,2,3,2,3,3,3,4,2,3,5,3,3,3,1,5,3,2,2,1,1,2,7,7,0,2,3,2,1,90.0,85.0,90.0,85.0,75.0,0,0,2,0.0,1.0,0.0,0,1
17,2,1,2,5,5,4,5,5,3,1,1,1,4,1,5,1,5,3,1,1,1,1,1,5,2,0,1,1,1,2,75.0,90.0,87.0,99.0,87.0,1,1,1,0.0,0.5,0.5,1,1
17,2,1,4,1,3,4,3,2,1,1,2,4,3,2,3,5,3,2,2,3,4,3,8,8,2,1,1,2,0,1,40.0,50.0,20.0,40.0,20.0,1,1,8,0.5,0.0,0.5,0,0
17,2,1,2,4,4,4,5,4,3,2,4,2,3,1,5,4,5,5,1,1,1,1,1,4,2,1,1,1,0,2,75.0,85.0,80.0,85.0,70.0,1,1,1,0.5,0.0,0.5,1,1
17,2,1,2,3,3,4,4,4,4,1,4,4,4,3,4,3,4,3,1,2,1,2,1,3,2,0,1,2,2,1,95.0,90.0,85.0,95.0,98.0,0,1,0,0.0,1.0,0.5,0,1
17,2,1,2,3,5,5,5,5,4,2,3,1,1,2,5,2,5,3,1,1,1,2,1,1,1,0,1,3,0,2,80.0,95.0,90.0,82.0,100.0,1,2,1,0.0,0.0,1.0,1,1
17,2,1,2,1,2,5,5,2,4,5,5,3,5,5,1,3,5,1,1,1,1,2,1,2,5,0,1,1,0,1,60.0,80.0,80.0,90.0,70.0,1,1,1,0.0,0.0,0.5,0,2
17,2,1,2,2,2,4,5,3,4,4,3,2,4,5,1,3,5,1,1,1,1,2,1,2,5,0,1,1,0,1,50.0,80.0,80.0,90.0,70.0,0,2,1,0.0,0.0,1.0,0,1
19,2,1,7,4,2,2,5,4,4,1,1,4,4,3,2,2,4,4,1,2,1,1,3,1,5,1,1,1,2,1,75.0,80.0,65.0,95.0,90.0,0,0,1,0.5,1.0,0.0,0,1
18,2,1,2,2,1,4,5,4,3,1,1,1,2,1,2,2,5,3,1,2,1,2,1,3,2,1,1,2,2,1,60.0,80.0,80.0,90.0,70.0,0,0,1,0.5,1.0,0.0,0,1
17,2,1,2,1,2,2,5,4,1,4,1,1,1,2,1,3,4,5,1,1,1,1,1,2,6,1,2,1,2,1,65.0,94.0,96.0,80.0,70.0,0,1,1,0.5,1.0,0.5,0,1
17,2,1,2,2,1,2,5,4,5,1,2,1,1,2,3,5,5,1,1,2,1,1,1,5,8,1,1,1,2,1,85.0,85.0,70.0,75.0,90.0,0,0,1,0.5,1.0,0.0,0,1
17,2,1,2,3,2,2,2,2,5,5,3,5,5,3,2,5,5,1,1,3,1,1,5,2,7,2,2,2,1,1,50.0,65.0,50.0,75.0,50.0,0,0,0,1.0,0.5,0.0,0,2
17,2,1,2,3,3,3,3,3,5,5,3,5,5,3,3,1,5,5,1,3,1,1,2,3,5,2,2,2,1,1,65.0,65.0,50.0,75.0,70.0,0,0,0,1.0,0.5,0.0,0,2
17,2,1,2,5,2,5,5,5,3,1,1,1,1,3,4,2,5,5,1,1,1,1,1,2,3,0,2,1,0,1,70.0,86.0,100.0,90.0,100.0,1,0,1,0.0,0.0,0.0,0,1
18,2,1,2,5,3,3,4,3,4,2,5,3,2,1,3,4,5,4,1,2,1,2,1,2,4,1,1,1,2,1,50.0,60.0,60.0,80.0,70.0,1,0,1,0.5,1.0,0.0,0,1
18,2,1,2,5,4,4,5,4,3,3,4,4,5,4,4,4,5,5,2,3,4,4,1,2,3,0,1,4,2,2,80.0,95.0,97.0,100.0,80.0,1,0,1,0.0,1.0,0.0,1,0
18,2,1,2,5,3,5,4,4,2,1,1,1,1,3,3,2,5,3,1,1,1,1,2,3,3,1,2,1,0,2,70.0,70.0,90.0,90.0,60.0,1,0,2,0.5,0.0,0.0,1,1
18,2,1,2,1,5,5,3,2,4,1,4,4,2,1,4,1,5,2,1,2,1,4,2,1,3,1,8,2,1,1,35.0,40.0,30.0,70.0,50.0,1,0,2,0.5,0.5,0.0,0,2
18,2,1,2,4,3,5,4,4,3,1,1,1,1,3,3,4,5,4,3,1,1,1,2,3,2,1,2,1,0,2,100.0,100.0,100.0,100.0,100.0,1,0,2,0.5,0.0,0.0,1,1
18,2,1,2,4,3,5,4,4,2,1,1,1,1,3,3,2,5,3,2,1,1,1,2,3,2,1,2,1,0,2,80.0,70.0,80.0,90.0,60.0,1,0,2,0.5,0.0,0.0,1,1
19,2,1,2,1,1,3,5,4,1,2,3,1,5,1,3,5,5,5,2,1,1,1,1,5,8,2,1,4,2,1,90.0,95.0,100.0,100.0,88.0,1,0,1,1.0,1.0,0.0,0,1
17,2,1,2,3,3,3,4,4,3,2,3,4,3,3,3,3,4,3,2,2,1,2,8,8,1,2,8,3,0,2,80.0,70.0,80.0,90.0,65.0,0,1,8,1.0,0.0,0.5,1,1
17,2,1,2,1,3,4,5,5,5,2,1,4,1,3,3,5,3,3,3,2,2,3,1,8,6,1,1,3,2,1,75.0,75.0,95.0,98.0,90.0,0,0,0,0.5,1.0,0.0,0,1
18,2,1,2,1,1,3,5,3,1,1,2,1,1,1,2,4,5,3,1,1,1,1,1,2,3,0,1,1,0,2,100.0,100.0,100.0,100.0,100.0,0,0,1,0.0,0.0,0.0,1,1
18,2,1,2,5,2,5,5,1,3,1,1,1,2,3,5,1,5,2,1,2,1,2,3,1,8,0,1,1,1,1,90.0,89.0,75.0,89.0,90.0,0,0,3,0.0,0.5,0.0,0,1
17,2,1,2,3,2,4,3,4,3,1,4,3,2,1,2,4,5,3,3,2,1,2,8,8,7,1,1,1,2,2,65.0,50.0,80.0,90.0,70.0,0,2,0,0.5,1.0,1.0,1,1
18,1,4,2,3,5,2,4,2,4,4,5,3,5,1,5,5,5,3,4,4,4,4,4,4,4,1,1,1,2,1,90.0,80.0,100.0,90.0,100.0,1,0,4,0.5,1.0,0.0,0,0
17,2,1,2,3,2,3,5,4,4,5,3,1,1,4,2,5,5,1,1,1,1,2,1,8,6,1,1,1,2,1,70.0,65.0,75.0,95.0,83.0,1,1,0,0.5,1.0,0.5,0,1
18,1,1,2,3,3,4,1,5,1,1,5,5,3,1,3,3,5,1,1,1,1,1,2,8,8,0,1,3,0,1,78.0,70.0,90.0,80.0,60.0,0,0,0,0.0,0.0,0.0,0,1
17,2,1,1,4,5,5,3,3,2,1,3,1,1,1,5,1,5,5,1,4,1,1,2,1,3,1,1,2,2,1,100.0,100.0,100.0,100.0,100.0,0,0,1,0.5,1.0,0.0,0,1
18,1,2,10,2,3,3,4,1,4,5,1,5,1,1,4,4,4,5,1,2,3,1,8,7,5,2,5,2,1,2,88.0,82.0,70.0,86.0,80.0,1,0,7,1.0,0.5,0.0,1,1
17,2,1,1,4,4,2,4,1,1,1,1,3,1,2,3,3,4,1,1,3,2,2,1,3,2,0,2,1,1,2,91.0,80.0,80.0,90.0,44.0,0,0,0,0.0,0.5,0.0,1,0
17,2,1,3,3,1,1,5,5,1,5,2,4,5,5,1,1,2,1,1,3,1,1,2,4,8,2,1,1,1,2,83.0,77.0,95.0,60.0,88.0,1,2,2,1.0,0.5,1.0,1,2
